Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 111-JHR0177-344     ,1471
3, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 112-JHR0177-344     ,1533
5, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 113-JHR0177-344     ,1528
7, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 114-JHR0177-344     ,464
9, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 206-JHR0177-344     ,1493
11, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 207-JHR0177-344     ,1615
13, 23/11/08__18:18:14,4598, MOLT23B00294-003    , 208-JHR0177-344     ,1405
15, 23/11/08__18:18:14,4598, MOLT23B00294-003    , ,  
17, 23/11/08__18:18:14,4598, MOLT23B00294-003    , ,  
19, 23/11/08__18:18:14,4598, MOLT23B00294-003    , ,  
21, 23/11/08__18:18:14,4598, MOLT23B00294-003    , ,  
23, 23/11/08__18:18:14,4598, MOLT23B00294-003    , ,  
25, 23/11/08__18:18:14,4598, MOLT23B00294-003    , ,  
Qty Sum ,_,_,_,_ ,0
