Item,Data create,Op id,Mo #,Frame barcode,Qty,Frame barcode,Frame barcode,Frame barcode,Frame barcode,Frame barcode
1, 24/01/04__09:03:55,4598, MOLT23C01353-001    , CEJ476              ,232, CEJ476,ERROR,ERROR,CEJ476 ,
3, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
5, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
7, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
9, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
11, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
13, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
15, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
17, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
19, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
21, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
23, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
25, 24/01/04__09:03:55,4598, MOLT23C01353-001    , , ,  ,,,,
Qty Sum ,_,_,_,_ ,0,,,,,
